"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB"
"Tuesday August 3","vse-Hamd (7e683317-9d42-490d-aeaa-917b77577ce6)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-venus-alexandria (f675cded-711e-4a22-bd51-1524a850f661)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-Future-ERP-Edge-New (fd1668ba-fb29-442b-af13-84b259b14191)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-IGI (71406d74-8aa6-4f9d-8b98-4703ec25c2c6)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-Developers-Edg (11641040-df75-423a-8c7d-70cd44f84c78)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-Edge-Reyada-New (4b7fca73-588f-4f03-ae24-0360538272b2)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-kuwait (8589cebd-4ad3-49d7-859a-17cd4189a086)-0","1.07","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-karim-test (3b5e3e22-1ab3-4c5b-85ff-e34e3544e466)-0","1.65","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-ELbatal (86554aa4-be8b-4aeb-9084-675da6a39c49)-0","1.07","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","vse-nada (35b6a75e-6362-4f02-a66b-84221f17b44c)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07"
"Tuesday August 3","Alfa-DAXAOS-LhCj","86.98","1","HD#1: 300 GB","300"
"Tuesday August 3","Developer-VM5-BhRt","40.23","1","HD#1: 256 GB","256"
"Tuesday August 3","Developers-VM7-kKia","17.54","1","HD#1: 100 GB","100"
"Tuesday August 3","adobe-document-2gal","100.48","1","HD#1: 178 GB","178"
"Tuesday August 3","LEADERS-COIN+RETAIL-T2mK","37.27","1","HD#1: 350 GB","350"
"Tuesday August 3","ACT-VM-03-igWB","77.57","1","HD#1: 500 GB","500"
"Tuesday August 3","Demo-Ikjw","28.90","1","HD#1: 250 GB","250"
"Tuesday August 3","Family-Corp-ERP-DEV-pHPo","97.78","1","HD#1: 300 GB","300"
"Tuesday August 3","venus-2-WYQO","15.00","1","HD#1: 300 GB","300"
"Tuesday August 3","LedersSTA-SQL01-JuYQ","75.50","1","HD#1: 700 GB","700"
"Tuesday August 3","DP-Solman-4AXz","268.48","2","HD#1: 60 GB, HD#2: 714 GB","774"
"Tuesday August 3","Leaders-FUTUREN-ELXx","27.42","1","HD#1: 200 GB","200"
"Tuesday August 3","ELDoha-2eTo","33.71","1","HD#1: 180 GB","180"
"Tuesday August 3","Alfa-SQL-Server-qecU","516.10","2","HD#1: 400 GB, HD#2: 100 GB","500"
"Tuesday August 3","DP-Jump-Machine-LYHf","155.59","2","HD#1: 100 GB, HD#2: 300 GB","400"
"Tuesday August 3","Esxi-02-2m2u","1.38","2","HD#1: 80 GB, HD#2: 420 GB","500"
"Tuesday August 3","venus-1-j62Y","24.58","1","HD#1: 300 GB","300"
"Tuesday August 3","Developer-VM4-4Uso","19.11","1","HD#1: 160 GB","160"
"Tuesday August 3","DP-S4H-APP-QAS-PRxw","412.56","2","HD#1: 60 GB, HD#2: 815 GB","875"
"Tuesday August 3","Family-Corp-ERP-QAS-jG26","35.94","2","HD#1: 100 GB, HD#2: 74 GB","174"
"Tuesday August 3","Esxi-01-Bgfe","36.25","2","HD#1: 80 GB, HD#2: 420 GB","500"
"Tuesday August 3","Gabr-VM-OhJC","89.91","1","HD#1: 200 GB","200"
"Tuesday August 3","vcenter1-qSqL","128.00","1","HD#1: 128 GB","128"
"Tuesday August 3","Leaders-STA-8-0mRF","27.46","1","HD#1: 200 GB","200"
"Tuesday August 3","Liptis-Windows-7oXx","196.71","1","HD#1: 300 GB","300"
"Tuesday August 3","LEADERS-SUNRISE-QrlC","34.97","1","HD#1: 500 GB","500"
"Tuesday August 3","my-domain-IhLX","25.56","1","HD#1: 100 GB","100"
"Tuesday August 3","Family-Corp-RDP-7wzY","191.84","2","HD#1: 80 GB, HD#2: 200 GB","280"
"Tuesday August 3","ACT-01-cFSc","463.22","2","HD#1: 100 GB, HD#2: 400 GB","500"
"Tuesday August 3","machine1-kuet","257.09","1","HD#1: 250 GB","250"
"Tuesday August 3","Family-Odoo-Mfv6","26.15","1","HD#1: 100 GB","100"
"Tuesday August 3","FEM-001-SbZt","38.78","1","HD#1: 40 GB","40"
"Tuesday August 3","venus-Database-KNXi","227.12","2","HD#1: 100 GB, HD#2: 300 GB","400"
"Tuesday August 3","IscsiStorage-FACr","2128.00","2","HD#1: 80 GB, HD#2: 2048 GB","2128"
"Tuesday August 3","Concrete-1-kweI","35.01","1","HD#1: 150 GB","150"
